symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JPM,2019-05-24 00:00:00+00:00,109.71,109.96,109.19,109.52,8537252,95.1441319726,95.3609402216,94.6931708148,94.9793577034,8537252,0.0,1.0
JPM,2019-05-28 00:00:00+00:00,108.52,109.83,108.44,109.2,11665579,94.1121247076,95.2481999321,94.0427460679,94.7018431447,11665579,0.0,1.0
JPM,2019-05-29 00:00:00+00:00,108.22,108.4,107.06,107.45,9966365,93.8519548088,94.0080567481,92.8459645337,93.184185402,9966365,0.0,1.0
JPM,2019-05-30 00:00:00+00:00,107.06,109.18,106.54,108.65,10367822,92.8459645337,94.6844984848,92.3950033758,94.224864997,10367822,0.0,1.0
JPM,2019-05-31 00:00:00+00:00,105.96,106.59,104.84,105.56,10952857,91.8920082383,92.4383650256,90.9207072829,91.5451150399,10952857,0.0,1.0
JPM,2019-06-03 00:00:00+00:00,106.46,106.86,105.3,105.8,11680745,92.3256247362,92.6725179345,91.319634461,91.7532509589,11680745,0.0,1.0
JPM,2019-06-04 00:00:00+00:00,109.74,109.9,107.13,107.85,12858587,95.1701489625,95.3089062418,92.9066708434,93.5310786004,12858587,0.0,1.0
JPM,2019-06-05 00:00:00+00:00,110.13,110.38,108.64,109.86,8340484,95.5083698309,95.7251780798,94.2161926671,95.274216922,8340484,0.0,1.0
JPM,2019-06-06 00:00:00+00:00,110.37,110.87,108.93,110.15,8726664,95.7165057499,96.1501222478,94.4676902359,95.5257144908,8726664,0.0,1.0
JPM,2019-06-07 00:00:00+00:00,109.16,110.02,108.96,109.7,10618932,94.6671538249,95.4129742013,94.4937072257,95.1354596427,10618932,0.0,1.0
JPM,2019-06-10 00:00:00+00:00,110.34,111.21,110.22,110.75,11380602,95.69048876,96.4449814664,95.5864208005,96.0460542883,11380602,0.0,1.0
JPM,2019-06-11 00:00:00+00:00,110.68,111.57,110.37,110.82,9847999,95.9853479786,96.7571853449,95.7165057499,96.106760598,9847999,0.0,1.0
JPM,2019-06-12 00:00:00+00:00,109.27,110.9,108.89,110.7,9670511,94.7625494545,96.1761392377,94.433000916,96.0026926385,9670511,0.0,1.0
JPM,2019-06-13 00:00:00+00:00,109.54,110.16,109.05,109.46,8406903,94.9967023633,95.5343868207,94.5717581954,94.9273237237,8406903,0.0,1.0
JPM,2019-06-14 00:00:00+00:00,109.82,110.3,108.63,109.57,9077685,95.2395276022,95.6557994402,94.2075203371,95.0227193532,9077685,0.0,1.0
JPM,2019-06-17 00:00:00+00:00,109.22,110.37,109.06,109.7,8128583,94.7191878047,95.7165057499,94.5804305253,95.1354596427,8128583,0.0,1.0
JPM,2019-06-18 00:00:00+00:00,110.71,111.41,108.98,109.01,11057340,96.0113649685,96.6184280655,94.5110518857,94.5370688755,11057340,0.0,1.0
JPM,2019-06-19 00:00:00+00:00,109.91,111.59,109.695,110.82,13126542,95.3175785718,96.7745300048,95.1311234777,96.106760598,13126542,0.0,1.0
JPM,2019-06-20 00:00:00+00:00,110.19,111.085,109.0331,110.88,13638199,95.5604038106,96.3365773419,94.5571019577,96.1587945777,13638199,0.0,1.0
JPM,2019-06-21 00:00:00+00:00,109.44,111.67,109.09,110.19,27089546,94.9099790637,96.8439086444,94.6064475152,95.5604038106,27089546,0.0,1.0
JPM,2019-06-24 00:00:00+00:00,108.66,109.77,108.54,109.28,13039577,94.233537327,95.1961659524,94.1294693675,94.7712217844,13039577,0.0,1.0
JPM,2019-06-25 00:00:00+00:00,107.76,108.98,107.67,108.68,18660111,93.4530276307,94.5110518857,93.3749766611,94.2508819869,18660111,0.0,1.0
JPM,2019-06-26 00:00:00+00:00,108.48,109.31,108.16,108.3,10324609,94.0774353877,94.7972387743,93.7999208291,93.9213334485,10324609,0.0,1.0
JPM,2019-06-27 00:00:00+00:00,108.84,109.55,108.44,108.84,10906607,94.3896392662,95.0053746933,94.0427460679,94.3896392662,10906607,0.0,1.0
JPM,2019-06-28 00:00:00+00:00,111.8,112.43,110.9,111.04,21634683,96.9566489339,97.5030057213,96.1761392377,96.2975518571,21634683,0.0,1.0
JPM,2019-07-01 00:00:00+00:00,113.68,114.52,113.08,113.23,12762478,98.5870469661,99.3155226826,98.0667071686,98.1967921179,12762478,0.0,1.0
JPM,2019-07-02 00:00:00+00:00,113.8,114.2,113.22,113.51,10182625,98.6911149256,99.0380081239,98.188119788,98.4396173568,10182625,0.0,1.0
JPM,2019-07-03 00:00:00+00:00,112.82,113.87,112.26,113.34,6849443,98.5350129863,99.4520646051,98.0459187896,98.9891718833,6849443,0.8,1.0
JPM,2019-07-05 00:00:00+00:00,113.49,114.27,112.92,113.51,7929536,99.1201792574,99.8014176028,98.6223512357,99.1376469073,7929536,0.0,1.0
JPM,2019-07-08 00:00:00+00:00,112.87,113.48,112.5,112.96,6917209,98.578682111,99.1114454324,98.2555305882,98.6572865355,6917209,0.0,1.0
